source_user_id,source_username,source_instance,target_user_id,created_at,snapshot,edge_type
108087275964468439,hybridhavoc,darkfriend.social,109292574717027937,2023-03-30T19:13:28.000Z,Snapshot 2 — Post Settling (2023),reply
109258636566275551,HistoPol,mastodon.social,110057325403221213,2023-03-21T20:43:15.863Z,Snapshot 2 — Post Settling (2023),reply
109259078198561746,TCatInReality,mastodon.social,108206356302147373,2026-04-06T08:41:05.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109593860171213401,2025-07-10T00:47:38.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109306627295454401,2025-06-05T15:41:20.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,113443668257421939,2025-02-10T12:26:13.000Z,Snapshot 3 — Current State (2024–2026),reply
110899320475668269,TheManyVoices,mastodon.social,109515782973648365,2024-11-21T05:22:47.000Z,Snapshot 3 — Current State (2024–2026),reply
109809617293245211,AnneTheWriter1,universeodon.com,109450585208297126,2024-11-18T15:44:12.000Z,Snapshot 3 — Current State (2024–2026),reply
109308465890473229,bornach,masto.ai,108440685815645949,2024-11-14T16:07:21.000Z,Snapshot 3 — Current State (2024–2026),reply
109809617293245211,AnneTheWriter1,universeodon.com,110707186942653040,2024-11-14T05:54:11.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109311318057569586,2024-11-13T12:10:49.000Z,Snapshot 3 — Current State (2024–2026),reply
109727261108923964,mho,social.heise.de,113103323353179688,2024-11-08T09:12:17.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,108194731373338931,2024-11-05T23:48:06.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109295170091258196,2024-11-05T10:54:03.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,108223611578198120,2024-11-04T16:42:09.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109290177553423719,2024-11-03T18:07:50.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109322222791368399,2024-11-02T13:56:01.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109298427888540757,2024-10-23T15:49:44.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109295170091258196,2024-10-09T00:44:43.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109346051768943602,2024-10-08T02:09:41.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109295170091258196,2024-10-06T20:03:48.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,110272491925611241,2024-09-04T15:32:05.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,108193077667817242,2024-09-01T09:08:15.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,110696749683359376,2024-08-31T20:13:09.000Z,Snapshot 3 — Current State (2024–2026),reply
109308465890473229,bornach,masto.ai,109295256025387828,2024-08-27T07:26:47.000Z,Snapshot 3 — Current State (2024–2026),reply
